BANCO DE DADOS AGROCLIMATOLÓGICO;;;;;;;;;;;;;;;;;;
;Estação (localidade):;;;Aimores;;;;;;;;;;;;;;
Lat.:;Lat.:;-19,494872;;;Long.:;-41,077647;;;;Altitude: ;;79,93;;m;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação;Txm;Tnm;Tmed-med;URmed;PrecSOM;Evapmed;Etomed;Insolaçãomed;Tx Abs;Tn Abs
30/04/1976;33;19;25,9;65,25;0;3,8;;9,7;33,03333333;19,60666667;25,898;66,23333333;13;3,766666667;;9,206666667;36,0;17,0
01/05/1976;31;18;24;74,75;68,4;3,6;;9,5;;;;;;;;;;
02/05/1976;26;17;21,8;74,5;0;2,8;;2,7;;;;;;;;;;
03/05/1976;26;18;22;74,5;0;1,6;;0;;;;;;;;;;
04/05/1976;25,2;18;22,04;70,75;0;2,1;;0;;;;;;;;;;
05/05/1976;22,5;18;20,6;92,5;2;1,7;;0;;;;;;;;;;
06/05/1976;25,2;19;21,64;87,75;16;0,5;;0;;;;;;;;;;
07/05/1976;31;17;23,3;75;0;1,1;;7,7;;;;;;;;;;
08/05/1976;31;17;23;76,25;0;2,3;;8,7;;;;;;;;;;
09/05/1976;33;16;24,2;68;0;2,4;;9,7;;;;;;;;;;
10/05/1976;31;19;24;74;0;3,2;;6,2;;;;;;;;;;
11/05/1976;31,5;18;24,7;70,5;0;3;;9,9;;;;;;;;;;
12/05/1976;32;18;24,3;74;0;3,2;;9,3;;;;;;;;;;
13/05/1976;31;20;23,9;75,75;0;3;;5,7;;;;;;;;;;
14/05/1976;29;16;22,8;66;0;2,7;;6,1;;;;;;;;;;
15/05/1976;28;15;22;77;0;2,6;;2,1;;;;;;;;;;
16/05/1976;29;18;22,8;77,25;4;2;;6;;;;;;;;;;
17/05/1976;30;18;23,2;77,75;0;2,1;;6;;;;;;;;;;
18/05/1976;32;16;22,4;69,75;0;2,5;;9,1;;;;;;;;;;
19/05/1976;33;16;24,4;72,25;0;3,5;;8,6;;;;;;;;;;
20/05/1976;32;18;25,6;69,25;0;3,6;;7;;;;;;;;;;
21/05/1976;31;20;25,2;69,75;0;3,3;;3,1;;;;;;;;;;
22/05/1976;28;17;23,4;74;0;2,9;;1,3;;;;;;;;;;
23/05/1976;31;18;25,2;68,5;0;2,3;;6,4;;;;;;;;;;
24/05/1976;33;19;24,4;69,5;0;3;;10,8;;;;;;;;;;
25/05/1976;33;17,5;25,9;62,75;0;3,3;;9,5;;;;;;;;;;
26/05/1976;31;17;23,4;72,75;5;3,4;;10,6;;;;;;;;;;
27/05/1976;32;19;24;68,75;0;2,9;;7,4;;;;;;;;;;
28/05/1976;34;17;25,2;64,75;0;3,3;;9,3;;;;;;;;;;
29/05/1976;30;18;23,6;71,5;0;3,4;;4,2;;;;;;;;;;
30/05/1976;34;17,5;24,9;62,5;0;3,1;;9;;;;;;;;;;
31/05/1976;32;19;23,8;65,5;0;3,8;;4,2;30,27096774;17,70967742;23,60258065;72,50806452;95,4;2,716129032;;6,132258065;34,0;15,0
01/06/1976;29;17;21,8;61,5;0;4,2;;7,1;;;;;;;;;;
02/06/1976;30;15;21,4;64,75;0;3,8;;10,6;;;;;;;;;;
03/06/1976;31;15;22,6;62,25;0;3,5;;10,7;;;;;;;;;;
04/06/1976;31;17;23,4;66,75;0;3,8;;8,4;;;;;;;;;;
05/06/1976;30;15,1;22,82;67,75;0;3,2;;9,5;;;;;;;;;;
06/06/1976;31;17;23,6;65;0;2,5;;9,9;;;;;;;;;;
07/06/1976;34;17;23,6;72,5;0;4,3;;10;;;;;;;;;;
08/06/1976;27;19;22,4;80,5;30;3,8;;2,1;;;;;;;;;;
09/06/1976;29;18;23,8;76;0;2;;5,3;;;;;;;;;;
10/06/1976;30;17;22,8;75,5;0;1,9;;7,6;;;;;;;;;;
11/06/1976;31,2;15,2;22,08;72,25;0;2,6;;10,1;;;;;;;;;;
12/06/1976;31,5;16,1;23,12;76,5;0;3,5;;9,8;;;;;;;;;;
13/06/1976;30,1;21;24,82;71,25;0;3,4;;8,3;;;;;;;;;;
14/06/1976;32;17,1;23,22;72;0;2,6;;9,7;;;;;;;;;;
15/06/1976;33,5;16,1;23,72;67,5;0;3,2;;10;;;;;;;;;;
16/06/1976;31;16,5;21,9;74,75;0;3,7;;7,7;;;;;;;;;;
17/06/1976;32,5;14,8;21,66;64;0;2,8;;9,6;;;;;;;;;;
18/06/1976;30,1;13,6;22,74;67,75;0;2,6;;10,6;;;;;;;;;;
19/06/1976;31;13,6;20,52;63;0;3,5;;10;;;;;;;;;;
20/06/1976;30,5;12,5;20,6;60,25;0;4;;9,8;;;;;;;;;;
21/06/1976;30,1;13,3;21,48;66;0;3,2;;10,3;;;;;;;;;;
22/06/1976;30;13,2;21,84;69,5;0;3,2;;10,2;;;;;;;;;;
23/06/1976;30;15,5;22,7;66,75;0;3;;9,2;;;;;;;;;;
24/06/1976;28;15;22,4;75,5;0;3,1;;6,9;;;;;;;;;;
25/06/1976;30;18;23,6;74;0;2,1;;3,9;;;;;;;;;;
