Município- Nome da Estação;Estado;Latitude;Longitude;Altitude_m;CÓD;TIPO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;ANO;VER;OUTO;INV;PRI
Afonso Claudio- Afonso Claudio Montante;ES;-20,08;-41,12;300;2041023;Pluv.;197,3;102,9;136,7;65,2;37,5;19,8;17,1;21;32,2;79,3;190,5;221,6;1121,1;521,8;239,4;57,9;302
Afonso Claudio- Laranja da terra;ES;-19,9;-41,06;250;1941008;Pluv.;165,2;99,1;119,3;57,7;36,5;20,2;15,1;15,5;26,4;81,6;162,5;210,6;1009,7;474,9;213,6;50,8;270,4
Água Doce do Norte- Água Doce;ES;-18,55;-40,98;280;1840007;Pluv.;169,8;115,4;145,2;75,3;39,8;29;34;35;33,7;84;190;216;1167;501,2;260,2;97,9;307,7
Águia Branca- Águia Branca;ES;-18,99;-40,75;180;1840000;Pluv.;176,3;123,7;143,5;82,3;36,5;30,5;33,3;37,3;38,9;84,5;184,4;225,8;1196,8;525,8;262,2;101,1;307,7
Alegre- Alegre;ES;-20,77;-41,47;138;2041049;Pluv.;204;115,3;136,7;136,7;59,7;22,6;21,8;20,4;50;104,2;181,4;219,5;1272,1;538,8;333;64,8;335,6
Alegre- Ibitirama;ES;-20,54;-41,67;794;2041016;Pluv.;244,9;144,4;218;118,2;72;27,7;29,1;34,3;70,1;126,5;252,3;282,6;1620,1;671,9;408,2;91,1;449
Alegre- PCH Jusante;ES;-20,76;-41,52;190;2041057;Pluv.;200,6;111;207;107;58,4;37,6;19;36,2;49,5;75,5;165,3;267,6;1334,5;579,1;372,3;92,7;290,3
Alegre- Rive;ES;-20,75;-41,47;127;2041003;Pluv.;190,1;112,7;160,7;111,5;58,4;28,5;27,1;33,9;60,3;103,7;210,2;240,3;1337,2;543,1;330,5;89,4;374,2
Alfredo Chaves- Matilde DNOS;ES;-20,56;-40,81;515;2040011;Pluv.;188,4;116,1;202,3;145,5;100;68;75,4;73,6;96,5;134,1;247,3;251,5;1698,5;555,9;447,8;216,9;477,9
Alfredo Chaves- Pluviômetro;ES;-20,63;-40,75;35;2040042;Pluv.;194;89,7;185,2;159,4;85,5;40;71,6;82,9;107,3;149,2;204,4;220,2;1589,3;503,9;430;194,5;460,9
Alfredo Chaves- Vila Nova Maravilha;ES;-20,59;-40,95;980;2040020;Pluv.;226,5;162,7;215,1;150,7;121;92,4;93,2;92,2;120,5;169,6;264,1;294,5;2002,5;683,7;486,8;277,8;554,2
Aracruz- Aracruz 2;ES;-19,82;-40,25;65;1940042;Pluv.;135,4;82,7;173;114,4;52,6;36,5;62,4;47,4;93,2;118,3;234,4;236,3;1386,6;454,4;340;146,2;445,9
Aracruz- Aracruz1;ES;-19,83;-40,27;58;1940021;Pluv.;157,8;93,2;143,5;143,5;56,3;46;53,3;51,4;63,7;110,2;213,1;218;1350;469;343,3;150,7;387
